"","Mouse","DietTime","Diet.x","Time.x","TimeNum","Diet.y","Time.y","Lesion.area","Section.area","AvgSize","SizeOverLesion","Segments","Type0","Type1","Type2","Type3","Type4","Type5","TypeK","NumberLesions","NumberLesionsValve","CrossLesions","CrossLesionsValve","UndiseasedPrcnt","Type1.Prcnt","Type2.Prcnt","Type3.Prcnt","Type4.Prcnt","Type5.Prcnt","Type1_3.Prcnt","Type4_5.Prcnt","valve","RatioMildSevere","Type1.TotalSize","Type2.TotalSize","Type3.TotalSize","Type4.TotalSize","Type5.TotalSize","TypeK.TotalSize","Type1.AvgSize","Type2.AvgSize","Type3.AvgSize","Type4.AvgSize","Type5.AvgSize","TypeK.AvgSize"
"1","X466","chow_00wk","chow","00wk",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","X468","chow_00wk","chow","00wk",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","X471","chow_00wk","chow","00wk",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","X472","chow_12wk","chow","12wk",12,"Chow",12,95566.73201,23891.683,21585.89521,2389.1683,12,4,3,1,4,0,0,2,8,10,2,2.5,33.33333333,37.5,12.5,50,0,0,100,0,0.2,NA,10079.59256,4322.910803,71941.07748,0,0,9223.151163,3359.864187,4322.910803,17985.26937,NA,NA,4611.575581
"5","X473","chow_12wk","chow","12wk",12,"Chow",12,178516.1135,44629.02837,35940.6339,2479.390465,12,1,2,0,7,0,0,9,9,18,2.25,4.5,8.333333333,22.22222222,0,77.77777778,0,0,100,0,0.5,NA,3823.250763,0,139939.2848,0,0,34753.57788,1911.625382,NA,19991.32641,NA,NA,3861.508653
"6","X474","chow_06wk","chow","06wk",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","X475","chow_12wk","chow","12wk",12,"Chow",12,48080.75303,12020.18826,3667.807896,924.6298659,12,4,1,0,5,0,0,7,6,13,1.5,3.25,33.33333333,16.66666667,0,83.33333333,0,0,100,0,0.538461538,NA,821.9677632,0,13849.26382,0,0,33409.52145,821.9677632,NA,2769.852764,NA,NA,4772.788778
"8","X476","chow_06wk","chow","06wk",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","X477","chow_06wk","chow","06wk",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","X478","HFD_06wk","HFD","06wk",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","X480","HFD_06wk","HFD","06wk",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","X481","HFD_06wk","HFD","06wk",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","X482","HFD_06wk","HFD","06wk",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","X484","HFD_18wk","HFD","18wk",18,"HFD",18,268224.4042,67056.10105,47664.57733,3944.476532,12,1,1,0,7,0,1,8,9,17,2.25,4.25,8.333333333,11.11111111,0,77.77777778,0,11.11111111,88.88888889,11.11111111,0.470588235,8,2279.413383,0,134742.0728,0,53636.82315,77566.09487,2279.413383,NA,19248.86754,NA,53636.82315,9695.761859
"15","X485","HFD_12wk","HFD","12wk",12,"HFD",12,309365.9882,77341.49706,62298.11636,3362.673785,12,1,0,0,11,4,0,8,15,23,3.75,5.75,8.333333333,0,0,73.33333333,26.66666667,0,73.33333333,26.66666667,0.347826087,2.75,0,0,162882.9429,86309.52256,0,60173.52282,NA,NA,14807.54026,21577.38064,NA,7521.690353
"16","X486","HFD_12wk","HFD","12wk",12,"HFD",12,120128.1588,30032.03971,21552.56378,1766.590571,12,1,2,0,5,1,0,9,8,17,2,4.25,8.333333333,25,0,62.5,12.5,0,87.5,12.5,0.529411765,7,1947.552725,0,82313.07293,1949.62945,0,33917.90373,973.7763623,NA,16462.61459,1949.62945,NA,3768.65597
"17","X487","HFD_18wk","HFD","18wk",18,"HFD",18,617499.2325,154374.8081,143418.5261,6432.283672,12,0,0,0,12,4,0,8,16,24,4,6,0,0,0,75,25,0,75,25,0.333333333,3,0,0,317455.6629,256218.4415,0,43825.12811,NA,NA,26454.63857,64054.61038,NA,5478.141014
