,DietTime,Diet,Time,TimeNum
X466,chow_00wk,chow,00wk,0
X468,chow_00wk,chow,00wk,0
X471,chow_00wk,chow,00wk,0
X472,chow_12wk,chow,12wk,12
X473,chow_12wk,chow,12wk,12
X474,chow_06wk,chow,06wk,6
X475,chow_12wk,chow,12wk,12
X476,chow_06wk,chow,06wk,6
X477,chow_06wk,chow,06wk,6
X478,HFD_06wk,HFD,06wk,6
X480,HFD_06wk,HFD,06wk,6
X481,HFD_06wk,HFD,06wk,6
X482,HFD_06wk,HFD,06wk,6
X484,HFD_18wk,HFD,18wk,18
X485,HFD_12wk,HFD,12wk,12
X486,HFD_12wk,HFD,12wk,12
X487,HFD_18wk,HFD,18wk,18
X489,HFD_12wk,HFD,12wk,12
X490,chow_24wk,chow,24wk,24
X495,chow_24wk,chow,24wk,24
X496,HFD_06wk,HFD,06wk,6
X497,HFD_06wk,HFD,06wk,6
X499,HFD_06wk,HFD,06wk,6
X500,HFD_06wk,HFD,06wk,6
X503,HFD_06wk,HFD,06wk,6
X505,HFD_06wk,HFD,06wk,6
X506,HFD_06wk,HFD,06wk,6
X507,HFD_06wk,HFD,06wk,6
X515,HFD_12wk,HFD,12wk,12
X516,HFD_12wk,HFD,12wk,12
X518,HFD_12wk,HFD,12wk,12
X519,HFD_12wk,HFD,12wk,12
X524,chow_18wk,chow,18wk,18
X525,chow_18wk,chow,18wk,18
X532,HFD_18wk,HFD,18wk,18
X533,HFD_18wk,HFD,18wk,18
X535,HFD_18wk,HFD,18wk,18
X536,HFD_18wk,HFD,18wk,18
X537,HFD_18wk,HFD,18wk,18
X539,HFD_12wk,HFD,12wk,12
X540,HFD_12wk,HFD,12wk,12
X541,HFD_12wk,HFD,12wk,12
X546,chow_24wk,chow,24wk,24
X548,HFD_12wk,HFD,12wk,12
X549,HFD_12wk,HFD,12wk,12
X550,HFD_24wk,HFD,24wk,24
X551,HFD_24wk,HFD,24wk,24
X552,HFD_24wk,HFD,24wk,24
X553,HFD_24wk,HFD,24wk,24
X556,HFD_24wk,HFD,24wk,24
X557,HFD_24wk,HFD,24wk,24
X558,HFD_24wk,HFD,24wk,24
X560,HFD_24wk,HFD,24wk,24
X561,HFD_24wk,HFD,24wk,24
X562,chow_24wk,chow,24wk,24
X563,chow_24wk,chow,24wk,24
X564,chow_00wk,chow,00wk,0
X565,chow_24wk,chow,24wk,24
X568,HFD_18wk,HFD,18wk,18
X569,HFD_18wk,HFD,18wk,18
X570,HFD_18wk,HFD,18wk,18
X571,HFD_18wk,HFD,18wk,18
X572,HFD_18wk,HFD,18wk,18
X574,chow_06wk,chow,06wk,6
X575,chow_06wk,chow,06wk,6
X576,chow_12wk,chow,12wk,12
X577,chow_06wk,chow,06wk,6
X578,chow_12wk,chow,12wk,12
X579,chow_12wk,chow,12wk,12
X581,chow_00wk,chow,00wk,0
X583,HFD_24wk,HFD,24wk,24
X585,HFD_24wk,HFD,24wk,24
X586,HFD_24wk,HFD,24wk,24
X596,chow_18wk,chow,18wk,18
X597,chow_18wk,chow,18wk,18
X598,chow_18wk,chow,18wk,18
X599,chow_18wk,chow,18wk,18
X600,chow_00wk,chow,00wk,0
